name_firm,street_name,category
Power cup,ул. 60 лет СССР 14 (Индекс: 246049),Кафе
1000 Мелочей,ул. Курчатова 1 (Индекс: 246022),Магазин рыбы и морепродуктов
Охотничий домик,ул. Пушкина 32 ,Культура и искусство
Размещение рекламы на билбордах в Гомеле,ул. Барыкина 279 ,Рекламное агентство
Аверо НП,ул. Тельмана 3 ,Производство и поставки
Аптека Фармация № 195/1,ул. Медицинская 6 ,Медицина и фармацевтика
Окна и двери,ул. Международная 1 ,Продажа и установка окон
Мусорная площадка,ул. Ирининская 10А ,Бытовые услуги
Мусорная площадка,ул. Бочкина 178 ,Бытовые услуги
Модерн-Альянс,ул. Волгоградская 14 (Индекс: 246029),Ритуальные услуги
Parlamenter,ул. Гагарина 65 ,Товары для дома и дачи
ElectroKit,ул. Полесская 127 ,Компьютеры и интернет
Пост милиции,ул. Комиссарова 13/9 ,Государство
Магазин Зёрнышко,ул. Привокзальная 7 ,Товары для дома и дачи
SumaWebDeveloper,ул. 2-й переулок Ильича 30 ,Компьютеры и интернет
Реставрация ванн,ул. Гагарина 65 ,Строительство и недвижимость
"Гомельский государственный аграрно-экономический колледж, корпус № 3",ул. Гагарина 12 ,Наука и образование
Грядка,ул. Шилова 7 ,Товары для дома и дачи
Ремонт обуви,ул. Д.Н. Пенязькова 21 (Индекс: 246029),Ремонт обуви
Beauty Baza Shop,ул. Кирова 44 (Индекс: 246022),Наука и образование
Общежитие,ул. Волгоградская 12Б ,Туризм
Автономия,ул. Лазурная 13А ,Автомобили
Белинвестбанк Банкомат № 53,ул. Огоренко 30 ,Бизнес
Преzент,ул. Гагарина 65 ,Магазин подарков и сувениров
Тавифа,ул. Свиридова 27 ,Уход за внешностью
Детские игровые залы и площадки,ул. 1-й Былинный проезд 1 ,Развлечения
Western Union,ул. Кожара 2 ,Денежные переводы
Папа Джонс,ул. Косарева 18 ,Кафе
Ремонт Обуви,ул. Петруся Бровки 45 ,Ремонт обуви
Народная студия декоративно-прикладного искусства,ул. Юбилейная 48 ,Культура и искусство
Мастер класс,ул. Советская 27А ,Уход за внешностью
Отделочные материалы,ул. Ильича 270Б ,Стройматериалы
Гоцор по паралимпийским и дефлимпийским видам спорта,ул. Юбилейная 48 ,Спорт
Аддзяленне паштовай сувязі Гомель 246016,ул. Ильича 288 ,Почта
Лоевский Райисполком,ул. проспект Ленина 2 ,Государство
Мир упаковки,ул. Богдана Хмельницкого 59 ,Товары для дома и дачи
Детские игровые залы и площадки,ул. Головацкого 118 ,Развлечения
Польавто,ул. Островского 101 ,Автомобили
Svarka-Gomel.by,ул. Троллейбусная 5 ,Продажа сварочного оборудования
Косметичка,ул. проспект Октября 87А (Индекс: 246029),Косметика и парфюмерия
"SirRent. by, аренда прицепов",ул. Речицкий проспект 135А ,Производство и поставки
Интернет-магазин Computella.by,ул. Речицкий проспект 85 ,Продажа компьютеров
Belwest,ул. Гагарина 65 ,Товары для дома и дачи
Красный пищевик,ул. Речицкий проспект 75 ,Товары для дома и дачи
КС Банк,ул. проспект Ленина 18 ,Бизнес
Пари-Матч,ул. Рогачёвская 1А ,Отдых и туризм
Зубрёнок,ул. Советская 19 ,Кафе
Отпускник,ул. Катунина 14 ,Турагентство
Жалюзи и рулонные шторы,ул. Головацкого 138 ,Товары для дома и дачи
Арена микс,ул. проспект Победы 3А (Индекс: 246022),Магазины секонд-хенд
Автомобильная парковка,ул. Шоссейная 41 ,Автомобили
Швейное ателье,ул. 2 квартал МЖК Солнечный ,Ремонт одежды
Grand Manar,ул. Советская 149 ,Мебель
Детские игровые залы и площадки,ул. Мазурова 8 ,Развлечения
Кружева шоу-рум,ул. Гагарина 63 ,Товары для дома и дачи
Карусель,ул. Могилёвская 1А ,Детские игрушки и игры
Fix Price,ул. Петруся Бровки 11 ,Товары для дома и дачи
Лифт-Эск,ул. Владимирова 8 ,Производство и поставки
Банкомат,ул. Гагарина 65 ,Бизнес
Burimnavodu.by,ул. 8-я Иногородняя 2 ,Компьютеры и интернет
Интернет-магазин V.O.,ул. Быховская 115 ,Компьютеры и интернет
Квартиры на сутки в Гомеле -,ул. Катунина 20 ,Недвижимость
Мебельрум,ул. Советская 149 ,Мебель на заказ
ГАИ г. Гомель,ул. Федюнинского 9 ,Государство
ОДО СельСтройИндустрия,ул. проспект Ленина 20 ,Производство и поставки
Гомельское РУП Фармация аптека № 58/1,ул. Мазурова 70Б ,Медицина и фармацевтика
Прогресс,ул. Барыкина 157 ,Производство и поставки
Барбершоп Barbergrib,ул. проспект Ленина 1 ,Уход за внешностью
Отдых круглый год,ул. Советская 40 (Индекс: 246022),Турагентство
Новоснабплюс,ул. Госпитальная 19А ,Медицина и фармацевтика
Мусорная площадка,ул. Интернациональная 46 ,Бытовые услуги
Dsg dong,ул. Гагарина 65 ,Товары для дома и дачи
ИП Дробышевская Н. И.,ул. Речицкий проспект 2 (Индекс: 246027),Автомобили
Жильё посуточно,ул. Кожара 1 ,Недвижимость
Сантория Люкс,ул. Старочерниговская 4 ,Товары для дома и дачи
Печатная лавка,ул. Ильича 59А ,Материалы для оргтехники
Апартаменты на Петченко 10,ул. Педченко 10 ,Недвижимость
Лакомка,ул. Минская 44 ,Кафе
Грузоподъемсервис,ул. Могилёвская 19Б ,Производство и поставки
Санаторный ясли-сад № 153,ул. 50 лет Завода Гомсельмаш 9 ,Наука и образование
УПП Гомель ВТИ,ул. Барыкина 299 ,Недвижимость
Вивидмастер,ул. Кирова 32А ,Медицина и фармацевтика
Феникс,ул. Катунина 5 ,Мебель на заказ
Наши Детки ИП Кручковская Е. В.,ул. Советская 60 ,Товары для дома и дачи
Стекольная масерская,ул. Могилёвская 29 ,Стройматериалы
Услуги по бурению,ул. проспект Октября 75 ,Бурение
Амавант,ул. Рабочая 13 ,Производство и поставки
Шинный двор,ул. Лазурная 21 ,Шиномонтаж
Перчик,ул. Чечерская 35А ,Товары для дома и дачи
Пластическая хирургия,ул. Кожара 2 ,Пластическая хирургия
Eva,ул. Клермон-Ферран 16 ,Уход за внешностью
Типография ЕвроКард,ул. проспект Победы 2А (Индекс: 246022),Полиграфические услуги
Беларуслифт,ул. Мазурова 15 ,Строительство и недвижимость
Гомельский филиал РУП Белтелеком транспортный цех,ул. Лазурная 23/1 ,Телекоммуникации и связь
Ломбард,ул. М.Г. Ефремова 16 ,Финансы
Зеон,ул. Советская 39 ,Бытовая техника
Секонд-хэнд-сток,ул. Привокзальная 5 ,Магазины секонд-хенд
"Таск, пункт продажи полисов",ул. Могилёвская 1А ,Все виды страхования
Спецпромавтоматика,ул. Химзаводская 8 ,Системы охраны
