name_firm,street_name,category
Сож-2,ул. Озёрная 56 ,Стройматериалы
Дресс-код,ул. Привокзальная 5 ,Товары для дома и дачи
Копеечка,ул. Владимирова 67 ,Товары для дома и дачи
Хозяйственный маркет,ул. Басенкова 7 ,Товары для дома и дачи
ИрЭндТур,ул. Привокзальная площадь 1 ,Турагентство
Гомельоблсоюзпечать,ул. Карповича 14 ,Культура и искусство
Kupi-matras.by,ул. Катунина 14 ,Компьютеры и интернет
Стяжка пола,ул. Зои Космодемьянской 4 ,Строительство и недвижимость
Планета Здоровья,ул. проспект Ленина 28 ,Медицина и фармацевтика
Фармация,ул. Севастопольская 91 ,Медицина и фармацевтика
Промподготовка,ул. 8-я Иногородняя 1 ,Безопасность
ЗАГС Советского района,ул. Речицкий проспект 6 ,Государство
Дисконт,ул. 8-я Иногородняя 4 ,Товары для дома и дачи
NEO-стиль,ул. Гагарина 6 ,Уход за внешностью
Банк БелВЭБ,ул. проспект Космонавтов 66 ,Бизнес
Велопарковка,ул. Пролетарская 39 ,Велопарковка
Технобанк,ул. Гагарина 65 ,Бизнес
Суд Железнодорожного района,ул. Пушкина 10 ,Государство
Исправительная колония № 4,ул. Антошкина 3/29 ,Государство
Автомобильные грузоперевозки,ул. Свиридова 69 ,Услуги грузчиков
Al Mar,ул. Тельмана 1 ,НИИ
Мусорная площадка,ул. Бочкина 182А ,Бытовые услуги
Лакомка,ул. Междугородняя 2 ,Кафе
Евро-офис,ул. Барыкина 155 ,Мебель на заказ
Мусорная площадка,ул. Гагарина 38 ,Бытовые услуги
Лелик Кастрюлькин и Партнеры,ул. Клермон-Ферран 5 (Индекс: 246027),Организация праздников
Scarlett,ул. Катунина 20 ,Товары для дома и дачи
"Белорусское общество инвалидов, советская районная организация",ул. Жукова 34 ,Общество
Средняя школа № 3 им. Д. Н. Пенязькова,ул. Белорусская 62 ,Школы
Ziko,ул. Гагарина 65 ,Товары для дома и дачи
Мария,ул. Барыкина 98 (Индекс: 246027),Товары для дома и дачи
Стоянка грузовых авто,ул. Олимпийская 15А ,Автомобили
Все для пошива и ремонта обуви,ул. Привокзальная 3А ,Ремонт обуви
Королевство Сна,ул. Катунина 8 ,Продажа детской мебели
Бамбино,ул. Речицкий проспект 5В (Индекс: 246027),"Семья, дети, домашние животные"
Сити,ул. проспект Октября 46 (Индекс: 246029),Товары для дома и дачи
Фаберлик,ул. Барыкина 94 (Индекс: 246027),Косметика и парфюмерия
Текма,ул. Кирова 32А ,Пиломатериалы
Гомельавтопрестиж,ул. Лепешинского 176 ,Кузовной ремонт автомобиля
Спортивный комплекс,ул. Мазурова 110 ,Спорт
Балет Тандем,ул. Привокзальная 4 ,Культура и искусство
Лучевая терапия в Гокод,ул. Медицинская 2 ,Медицина и фармацевтика
Авторазборка Пежо Ситроен,ул. Войсковая 5Б ,Аксессуары для автомобилей
Good wheel,ул. Барыкина 232А ,Шиномонтаж
Штоэр-Транс,ул. 1-я Линейная 104В ,Транспорт и перевозки
Промтрансинвест,ул. Огоренко 33 ,Все виды страхования
Пошив и ремонт одежды ИП Малахова Е. М.,ул. проспект Победы 2 (Индекс: 246022),Ремонт одежды
Beauty level,ул. Гагарина 65 ,Косметика и парфюмерия
Отделение почтовой связи Гомель 246032,ул. Юбилейная 5 ,Почта
Добытчик,ул. Михаила Ломоносова 29 ,Товары для охоты
Отдел ЗАГС администрации Центрального района г. Гомеля,ул. Ирининская 15 ,Государство
Офис-плюс,ул. 2-я Революционная 8 ,Мебель для офиса
Монакус,ул. Речицкий проспект 131А ,Стройматериалы
Дивес Люкс ломбард,ул. Ильича 331 ,Финансы
Вскрытие замков,ул. Карповича 47 ,Бытовые услуги
Фиджи,ул. Мазурова 59 ,Уход за внешностью
Приорбанк,ул. Ильича 161Ж ,Бизнес
Газпромнефть,ул. Луначарского 60А ,АЗС
Аркада deLUX,ул. Советская 30 ,Товары для дома и дачи
QIWI,ул. Свиридова 15 ,Платежный терминал
Велопарковка,ул. Свердлова 26А ,Велопарковка
Brand,ул. Речицкий проспект 5В (Индекс: 246027),Товары для дома и дачи
Титан - А,ул. Катунина 14 ,Товары для дома и дачи
Все для наращивания ногтей и профессионального маникюра,ул. Советская 26А ,Косметика и парфюмерия
Umbrella,ул. Подгорная 10 ,Продажа корпусной мебели
Банкомат,ул. Независимости 1 ,Бизнес
Гомельоблхлебопродукт,ул. Мазурова 48 ,Бизнес
Funtastik,ул. Речицкий проспект 5В (Индекс: 246027),Детские игрушки и игры
Лакомка,ул. Ильича 87 ,Товары для дома и дачи
Аптека Фармация № 4/1,ул. Ильича 98А ,Медицина и фармацевтика
МастерМаг,ул. проспект Победы 16А ,Продажа крепежных изделий
Белмотордеталь,ул. Барыкина 100 (Индекс: 246027),Автомобили
Мав,ул. Могилёвская 19Б ,Лакокрасочные материалы
Интерсити,ул. Комсомольская 1 ,Туризм
Кинотеатр им. Калинина,ул. Коммунаров 4 ,Культура и искусство
Яна,ул. Советская 134Б ,Уход за внешностью
"БПС-Сбербанк, банкомат",ул. Мазурова 99А ,Бизнес
Гараж на час,ул. Новочерниговская 16 ,Автомобили
Fabio Cassel,ул. Гагарина 65 ,Товары для дома и дачи
Свежий хлеб,ул. Дворникова 12 ,Кафе
Военохот,ул. Кирова 1 ,Товары для охоты
Ролл-Центр,ул. Гагарина 89 ,Установка рольставней
ВиКэт,ул. Головацкого 116 ,Магазины секонд-хенд
Гомельская районная профсоюзная организация Белорусского профессионального союза работников АПК,ул. Севастопольская 135А ,Общество
Российский центр науки и культуры в Гомеле,ул. 50 лет БССР 7 ,Культура и искусство
Aleks studio Алекс студио,ул. Ильича 286 ,Фотостудия
Прометей-инво,ул. Междугородняя 6 ,Ритуальные услуги
Одежда больших размеров,ул. Катунина 4 ,Товары для дома и дачи
Аптекарь,ул. 6 квартал МЖК Солнечный ,Медицина и фармацевтика
SigaretNet.by,ул. Речицкий проспект 5В (Индекс: 246027),Товары для дома и дачи
Парикмахерская,ул. Студенческий проезд 13 ,Уход за внешностью
Удача,ул. Октябрьская 17 ,Товары для дома и дачи
Керхер,ул. Советская 97 ,Бытовая техника
Ясли-Сад № 145,ул. Бориса Царикова 40А ,Наука и образование
ТехноСпектрПлюс,ул. Дорожная 8 ,Строительство и недвижимость
Столешницы,ул. Дорожная 8 ,Мебель
ДивесЛюкс,ул. 70 лет БССР 2А ,Финансы
БПС-Сбербанк,ул. Максима Богдановича 2 ,Бизнес
Женская консультация,ул. Ландышева 17 ,Медицина и фармацевтика
КТД-Гомель,ул. 2-я Орудийная 15 ,Производство и поставки
Магазин автозапчастей,ул. Барыкина 2Б ,Автомобили
Велопарковка,ул. проспект Октября 46 (Индекс: 246029),Велопарковка
Grilage,ул. Свиридова 69 ,Уход за внешностью
Метизная лавка,ул. Ридного 7А ,Продажа крепежных изделий
Позитивпроект,ул. Ирининская 21Б ,Строительство и недвижимость
Бытовые услуги,ул. Бориса Царикова 7 ,Ремонт обуви
Блок Хаус,ул. Войсковая 5 ,Стройматериалы
Averus,ул. Достоевского 1 ,Компьютеры и интернет
The School № 10,ул. Дубравная 10 ,Кафе
Энергометизделие,ул. Ильича 331В ,Металлоизделия
Ремонт и реставрация обуви,ул. проспект Космонавтов 100 ,Ремонт обуви
Ласс Частное производственно-торговое унитарное предприятие,ул. Красноармейская 3А ,Товары для дома и дачи
Общежитие № 9,ул. проспект Космонавтов 82 ,Туризм
Товары в Гомеле,ул. проспект Ленина 51 ,Бизнес
ГСПК № 7 Центрального района,ул. Олимпийская 5А ,Автомобили
Спецзащита,ул. 2-я Авиационная 2А ,Системы охраны
Гомеля,ул. Советская 32 ,Бизнес
Телефончик,ул. Речицкий проспект 40/1 ,Бытовые услуги
Прием стеклотары,ул. Мазурова 22 ,Производство и поставки
Комфортные линии,ул. Советская 29 ,Турагентство
Добролек,ул. проспект Победы 13Б (Индекс: 246022),Медицина и фармацевтика
Лотос,ул. Ильича 87Д ,Косметика и парфюмерия
Центр по нормированию ТЭР,ул. Бориса Царикова 44 ,Энергоснабжение
"Гермес, склад",ул. Подгорная 10/2 ,Стройматериалы
Файбершоп,ул. Советская 60 ,Товары для дома и дачи
Форум тур,ул. 2-я Революционная 8 ,НИИ
Беларусбанк,ул. Советская 27 ,Бизнес
СуламитаСтиль,ул. Хатаевича 9 ,Уход за внешностью
Магазин постеров Oste,ул. Карповича 28 ,Товары для дома и дачи
Ginger Studio,ул. Карбышева 9 (Индекс: 246029),Уход за внешностью
Гомелбаблсаюздрук,ул. Свиридова 25 ,Культура и искусство
Центр творчества детей и молодежи центрального района г. Гомель,ул. Макаёнка 5 ,Наука и образование
Газпромнефть,ул. Речицкий проспект 135А ,АЗС
Плитка и керамогранит Керамика Сит и,ул. Барыкина 230Б ,Стройматериалы
Банкомат,ул. Привокзальная площадь 3А ,Бизнес
Губернский колодезь,ул. Советская 98 ,Товары для дома и дачи
Персона грата,ул. Речицкий проспект 65 ,Уход за внешностью
Эвакуатор,ул. Барыкина 84 (Индекс: 246027),Автомобили
Спутник,ул. Лазурная 9 ,Автомобили
Mart Inn,ул. Барыкина 143 ,Товары для дома и дачи
Пузатый пёс,ул. проспект Октября 51 ,Компьютеры и интернет
Сотточка,ул. Речицкий проспект 154 ,Продажа компьютеров
Эра Gefest,ул. проспект Октября 34 (Индекс: 246029),Бытовая техника
Мир Бильярда,ул. Богдана Хмельницкого 104А ,Кафе
Станислав Мельников,ул. 50 лет БССР 21 ,Организация праздников
Вера,ул. Барыкина 1 ,Уход за внешностью
СпортНавины,ул. Братьев Лизюковых 22 ,Реклама
Новики,ул. Крестьянская 26 ,Телекоммуникации и связь
ДелоДизайн,ул. Ирининская 21Б ,Изготовление светопрозрачных конструкций
ProСТО,ул. 8-й переулок Ильича 15 ,Автомобили
Zeroman,ул. Речицкий проспект 5В (Индекс: 246027),Товары для дома и дачи
Совет ветеранов Новобелицкого района г. Гомеля,ул. Ильича 24 ,Общество
Элит Оптик,ул. проспект Ленина 6 ,Медицина и фармацевтика
Белпочта,ул. Героев Подпольщиков 15А ,Почта
Granula,ул. Междугородняя 7 ,Утилизация отходов
Бьюти база,ул. Кирова 20 ,Уход за внешностью
Скай-арт,ул. Гагарина 49 ,Стройматериалы
Tint Brow School,ул. Кирова 9 ,Школы
Книжный магазин № 2 филиал Белкнига,ул. Ильича 22 ,Культура и искусство
PROpizza,ул. Билецкого 5 ,Доставка еды и напитков
Гермес,ул. Ильича 331 ,Стройматериалы
Скрынка,ул. Чечерская 23А ,Товары для дома и дачи
СкупкаАвто,ул. Гагарина 89 ,Автомобили
Бытовые услуги,ул. Ильича 28 ,Бытовые услуги
Профиль Полиграф,ул. Плеханова 36 ,Полиграфические услуги
Рота конвойной службы милиции,ул. Борисенко 12 ,Государство
КрафтОптик,ул. Ильича 30 ,Медицина и фармацевтика
Магазин продуктов,ул. Интернациональная 33 ,Товары для дома и дачи
Садовая мебель,ул. Текстильная 3 ,Садовая мебель
Belle,ул. Речицкий проспект 71 ,Уход за внешностью
Асалода,ул. Красноармейская 8 ,Товары для дома и дачи
Bro&Vape,ул. Ильича 57 ,Товары для дома и дачи
Рублёвский,ул. Чечерская 1Б ,Товары для дома и дачи
Воскресная школа при Храме Святого Благоверного Князя Александра Невского,ул. Ильича 126А ,Религия
Всё для шофёра,ул. Свиридова 1Е ,Производство и поставки
Компхардкомплект ЧПТУТ,ул. Мазурова 46 ,Бытовая техника
Мебельная студия,ул. Ирининская 7 ,Мебель
Школа танца Dance4life,ул. Севастопольская 61А ,Культура и искусство
Этл-Импульс,ул. Могилёвская 1Б ,Строительство
"Гомельская городская поликлиника № 1, женская консультация",ул. Ильича 286А ,Медицина и фармацевтика
Белэксимгарант-Гомель,ул. Советская 5А ,Все виды страхования
4 Сезона,ул. Речицкий проспект 62 ,Магазины секонд-хенд
Гомельаквафильтр,ул. Бочкина 99А ,Строительство и недвижимость
Coffee Time,ул. Карповича 5 ,Кафе
Беларусбанк,ул. Чечерская 8 ,Платежный терминал
Четыре сезона & К,ул. проспект Космонавтов 56 ,Ремонт обуви
Пина Колада nails,ул. Кирова 59 (Индекс: 246022),Уход за внешностью
Велопарковка,ул. Ильича 4 ,Велопарковка
Производственная лаборатория,ул. Коммунаров 14 ,Контрольно-измерительные приборы
ДКД Логистик,ул. Лепешинского 22А ,Транспорт и перевозки
Доктор Неболит,ул. Мазурова 109А ,Медицина и фармацевтика
Гимназия № 14 г. Гомеля,ул. Олимпийская 18 ,Школы
Макеевское опытное лесничество,ул. Давыдовская 5 ,Производство и поставки
"Беларусбанк, инфокиоск",ул. Федюнинского 9 ,Реклама
Pizzburg,ул. Кожара 6А ,Кафе
Белсудопроект,ул. Пушкина 11 ,Спорт
Косметичка,ул. проспект Ленина 29 ,Косметика и парфюмерия
Alex Elenich,ул. Бориса Царикова 20 ,Ателье по пошиву одежды
"Гомельдрев, столовая",ул. Ильича 55А ,Кафе
Ажур,ул. Ирининская 25 ,Товары для дома и дачи
Автомобильная парковка,ул. Междугородняя 7 ,Автомобили
Энергомонтажналадка,ул. Братьев Лизюковых 2 ,Строительство
Luval,ул. Речицкий проспект 5В (Индекс: 246027),Товары для дома и дачи
Обновка,ул. Мазурова 46 ,Магазины секонд-хенд
Бассейн,ул. проспект Октября 70 ,Спорт
Кактус,ул. Гагарина 65 ,Магазин подарков и сувениров
Брюс,ул. Новопрудковский проезд 5 ,"Семья, дети, домашние животные"
Сделаем Бай,ул. Гагарина 62 ,Мебель
Престиж авто,ул. Речицкий проспект 7А (Индекс: 246027),Аксессуары для автомобилей
Элиформ,ул. проспект Космонавтов 61 ,Спорт
Гомельский государственный медицинский университет,ул. Ланге 5 ,Наука и образование
Авто Мото Уровень,ул. Речицкая 1А ,Автошколы
Svigo Мебель,ул. Педченко 10Б ,Мебель на заказ
Надзея,ул. Головацкого 19 ,Туризм
Скупка радиодеталей - РесайклПро,ул. Жукова 21 ,Производство и поставки
Зоотовары,ул. Сосновая 18А ,"Семья, дети, домашние животные"
Стальная линия,ул. Советская 151/4 ,Стройматериалы
ИП Царков Д. Н.,ул. Барыкина 155 ,Автомобили
ЖЭУ № 7 ГП Железнодорожное,ул. Советская 119 ,Коммунальные службы
San Remo,ул. Советская 26А ,Кафе
Nadex,ул. Хатаевича 9 ,Товары для дома и дачи
Шиномонтаж 18+,ул. проспект Октября 25 (Индекс: 246029),Шиномонтаж
Апартаменты в центре на ул. Ирининская 7а,ул. Iryninskaja vulica 7А ,Недвижимость
ТВТ-маркет,ул. Рощинская 10 ,Товары для дома и дачи
Nagorny Model School,ул. Ирининская 16 ,Бизнес
Студия Web-дизайн,ул. Речицкий проспект 131А ,Компьютеры и интернет
Истанбул,ул. Крестьянская 35 ,Турагентство
Психологический кабинет,ул. проспект Ленина 3 ,Медицина и фармацевтика
Dvizhing,ул. Советская 57А ,Продажа компьютеров
Prokatit,ул. Трудовая 3А ,Спорт
Детские игровые залы и площадки,ул. Газеты Гомельская Правда 8 ,Развлечения
Гомельский Химический завод,ул. Химзаводская 5/16 ,Промышленная химия
Аптекарь,ул. Братьев Лизюковых 18 (Индекс: 246029),Медицина и фармацевтика
В Гомеле,ул. Советская 157 ,Автомобили
Квартал,ул. 2-я Колхозная 22 ,Товары для дома и дачи
Парикмахерская,ул. Полесская 14 ,Уход за внешностью
Kandel,ул. Кирова 40 ,Компьютеры и интернет
Инспекция Министерства по налогам и сборам Республики Беларусь по Центральному району г. Гомеля,ул. Советская 24А ,Налоговая инспекция
Белгазпромбанк,ул. Барыкина 143/1 ,Бизнес
Беларусбанк,ул. Тимофеенко 20 ,Бизнес
ДЮСШ Клен Гомельская Поп Гомельдрев Учреждение,ул. Достоевского 1 ,Спорт
Гомельхимсервис,ул. Интернациональная 25 ,Производство и поставки
Головные уборы,ул. М.Г. Ефремова 5 ,Товары для дома и дачи
Цветы,ул. Мазурова 58 ,Организация праздников
Тк375,ул. Кирова 55 (Индекс: 246022),Транспорт и перевозки
My Captain,ул. Новополесская 3 ,Товары для дома и дачи
Остров чистоты,ул. Свиридова 83А ,Косметика и парфюмерия
Глория,ул. Кирова 1 ,Обучение мастеров для салонов красоты
Остановка,ул. Советская 41 (Индекс: 246022),Транспорт и перевозки
История Цтдим,ул. 50 лет БССР 19 ,Туризм
Авилюкс,ул. Кооперативная 30 ,Продажа светотехники
Снежинка,ул. Крестьянская 42А ,Бытовые услуги
Энергосбыт филиал РУП Гомельэнерго Речицкое Межрайонное отделение,ул. Речицкий проспект 4 ,Производство и поставки
Мята,ул. площадь Ленина 2 ,Кафе
Makey авторские изделия из кожи,ул. Советская 200 ,Товары для дома и дачи
Иоанна,ул. Жемчужная 7 ,Уход за внешностью
Червонец,ул. 60 лет СССР 14 ,Товары для дома и дачи
Madrock,ул. Советская 19 ,Кафе
Жар-птица,ул. проспект Ленина 47 ,Товары для дома и дачи
Велопарковка,ул. Пирогова 39 ,Велопарковка
Евроленд,ул. М.Г. Ефремова 26А ,Товары для дома и дачи
Сантехника,ул. Привокзальная 6А ,Стройматериалы
"Гомельхлебпром, производство № 4, цех № 1",ул. Олимпийская 5 ,Кафе
Белкнига,ул. проспект Октября 34 (Индекс: 246029),Культура и искусство
Ясли-сад № 24,ул. Минская 28 ,Наука и образование
Катюша,ул. Урицкого 70 ,Мебель на заказ
Мусорная площадка,ул. Новополесская 2А ,Бытовые услуги
Фармация № 162/3,ул. проспект Ленина 63 ,Медицина и фармацевтика
Мусорная площадка,ул. Советская 102А ,Бытовые услуги
Join Up!,ул. Гагарина 65 ,Турагентство
Риэлт,ул. Жарковского 8 ,Недвижимость
Аптека Фармация № 187/2,ул. Добрушская 1 ,Медицина и фармацевтика
Оздоровительный центр,ул. Артиллерийская 2 (Индекс: 246022),Спорт
Кузница,ул. Мичурина 5 ,Продажа кованых изделий
"Центр инженерного образования, охраны труда и промышленной безопасности",ул. Интернациональная 8/1 ,Недвижимость
Гомельская областная клиническая поликлиника,ул. Артёма 4А ,Медицина и фармацевтика
Ремонт квартир под ключ в гомеле,ул. проспект Ленина 30 ,Строительство и недвижимость
Японские Кондиционеры,ул. Советская 149 ,Установка кондиционеров
Мебельный Формат ЧПТУП,ул. Объездная 12 ,Кухонная мебель
Буфет,ул. Добрушская 5/1 ,Товары для дома и дачи
Библиотека-филиал № 8 им. Кирилла Туровского,ул. 60 лет СССР 5 ,Культура и искусство
Парикмахерская Art-Hair,ул. Войкова 103 ,Уход за внешностью
Татьяна,ул. Павлова 26 (Индекс: 246029),Товары для дома и дачи
Алюминиевые Технологии,ул. Комсомольская 6 ,Установка рольставней
Первичная организация РОО Белая Русь филиала Гомельское производственное управление РПУП Гомельоблгаз,ул. Владимирова 4 ,Общество
Буфет № 1,ул. Привокзальная площадь 4 ,Развлечения
Белтаможсервис,ул. Борисенко 5 ,Услуги экспедирования грузов
Адвокат Гуцев А. В.,ул. Привокзальная площадь 1 (Индекс: 246022),Юридические услуги
Флора,ул. проспект Октября 89А ,Организация праздников
Радость,ул. Мазурова 72 ,Уход за внешностью
Велопарковка,ул. Гагарина 65 ,Велопарковка
Шкап,ул. Кирова 146 ,Продажа детской мебели
Mattioli,ул. Гагарина 65 ,Товары для дома и дачи
"Гомельская центральная городская детская поликлиника, филиал № 6, отделение медицинской реабилитации и физиотерапии",ул. Крестьянская 15 ,Медицина и фармацевтика
Диспетчерская Служба Филиала Гомельские Тепловые Сети,ул. Индустриальный проезд 4 ,Коммунальные службы
"БПС-Сбербанк, Дополнительный офис № 353 на Полесской Региональной дирекции № 300 по Гомельской области",ул. Полесская 14 ,Бизнес
Гомельэнергоремонт,ул. Барыкина 132 ,Энергоснабжение
Шоубар,ул. Курчатова 1 (Индекс: 246022),Организация праздников
Памятники,ул. Богдана Хмельницкого 77 ,Ритуальные услуги
Colins,ул. Гагарина 65 ,Товары для дома и дачи
Славянские рецепты,ул. Рогачёвская 4 ,Товары для дома и дачи
Антикинотеатр № 1,ул. Достоевского 1 ,Антикафе
Гипросвязь,ул. проспект Ленина 1 ,Телекоммуникации и связь
Mr. Coffee,ул. Свиридова 15 ,Кафе
Мусорная площадка,ул. Гайдара 8 ,Бытовые услуги
Велопарковка,ул. Пушкина 16А ,Велопарковка
Новая студия,ул. проспект Октября 17 ,Услуги дизайн интерьеров
Табакерка,ул. Речицкий проспект 29А ,Товары для дома и дачи
Компания Баррель,ул. Барыкина 149 ,АЗС
"Комитет по труду, занятости и социальной защите Гомельского облисполкома",ул. переулок Спартака 2А ,Государство
Столплит,ул. Лещинская 2А ,Мебель
Салон мебели Геста,ул. проспект Ленина 16 ,Кухонная мебель
Мастерская,ул. Рогачёвская 5А ,Ремонт часов
Велопарковка,ул. Брестская 1 ,Велопарковка
Торговый павильон,ул. Павлова 9 ,Товары для дома и дачи
Гастроном,ул. Бочкина 182 ,Товары для дома и дачи
Витэкс,ул. Огоренко 30 ,Косметика и парфюмерия
Life:),ул. М.Г. Ефремова 8А ,Телекоммуникации и связь
Аренда прицепов,ул. Советская 246 ,Производство и поставки
Саквояж,ул. проспект Ленина 4 ,Товары для дома и дачи
Средняя школа № 11,ул. Жарковского 19 ,Школы
Опорный пункт охраны правопорядка № 2,ул. Советская 97 ,Государство
Перетяжка и Ремонт Мебели,ул. 2-я Иногородняя 56 ,Мебель
Kidsbutik.by,ул. Богданова 7 ,Компьютеры и интернет
Отделение почтовой связи Гомель 246021,ул. Ильича 14 ,Почта
Отдел швейной фурнитуры,ул. 60 лет СССР 14 (Индекс: 246049),Продажа швейной фурнитуры
Superremont.by,ул. Борисенко 7Г ,Стройматериалы
Craft bearings,ул. Сосновая 10 ,Подшипники
Идея банк,ул. Советская 40А ,Бизнес
Магазин окон и дверей,ул. Хатаевича 38 ,Продажа и установка окон
Первая воротная компания,ул. Кооперативная 30 ,Стройматериалы
Управление Следственного комитета Республики Беларусь по Гомельской области,ул. Советская 34 ,Следственный комитет
Солнцетур,ул. Катунина 5 ,Турагентство
Мандарин Плаза,ул. Речицкий проспект 5В (Индекс: 246027),Товары для дома и дачи
Тофт,ул. проспект Космонавтов 116 ,Шиномонтаж
Тур Вавилон,ул. Катунина 14 ,Турагентство
УП Торговый дом Молочное кружево,ул. Братьев Лизюковых 1 (Индекс: 246029),Товары для дома и дачи
Велопарковка,ул. Катунина 24 ,Велопарковка
Mario Berluchi,ул. проспект Победы 7 (Индекс: 246022),Товары для дома и дачи
Авто Дарча,ул. Барыкина 150 ,Кузовной ремонт автомобиля
Велопарковка,ул. Карповича 6 ,Велопарковка
Гомельоблсоюзпечать,ул. Интернациональная 5 ,Культура и искусство
"Беларусбанк, инфокиоск",ул. Советская 98 ,Реклама
"БелГУТ, Общежитие № 2",ул. Кирова 33 ,Туризм
Теплобел,ул. Федюнинского 4 ,АЗС
Сбербанк,ул. Речицкий проспект 22 ,Бизнес
Завод станочных узлов,ул. 8-я Иногородняя 2 ,Транспорт и перевозки
Бел Систем Технолоджи,ул. проспект Ленина 10 ,Промышленная химия
"ДСУ № 17, филиал ДСТ № 2 город Гомель",ул. Инженерный переулок 6/1 ,Строительство
NSP,ул. 2-я Революционная 8/1 ,Косметика и парфюмерия
Секрет,ул. Гагарина 65 ,Развлечения
Сиатур,ул. Киселёва 6 ,Туризм
Ритуал,ул. 70 лет БССР 4 ,Изготовление памятников и надгробий
Рыбалка,ул. Гагарина 89 ,Товары для рыбалки
Котоваськино,ул. Кожара 1 ,"Семья, дети, домашние животные"
ЦПК Блр СООО в г. Гомеле,ул. Лепешинского 22А ,Недвижимость
Велопарковка,ул. Ленинградская 39А ,Велопарковка
7 Карат,ул. Советская 200 ,Товары для дома и дачи
Зоомагазин,ул. Ильича 301 ,"Семья, дети, домашние животные"
Студия перманентного макияжа Lera Astapenko,ул. Крестьянская 1 ,Уход за внешностью
Гомельская детско-юношеская школа первичной профсоюзной организации Гомельского домостроительного комбината,ул. Советская 29 ,Спорт
Мусорная площадка,ул. Героев Подпольщиков 20А ,Бытовые услуги
Развиваемся Играя,ул. 60 лет СССР 6 (Индекс: 246049),Детские игрушки и игры
"Беларусбанк, инфокиоск",ул. проспект Ленина 4 ,Реклама
Общежитие № 14,ул. проспект Космонавтов 76 ,Туризм
Пинскдрев,ул. Мазурова 65 ,Продажа корпусной мебели
МБОУ Могочинская СОШ,ул. Советская 10 ,Школы
Пандора Тревел,ул. проспект Ленина 6 ,Турагентство
Беларусбанк,ул. Каменщикова 3 ,Бизнес
СушиМания,ул. Катунина 14 ,Кафе
Кулинария,ул. Песина 74 ,Товары для дома и дачи
Maxim мебель,ул. Советская 149 ,Мебель на заказ
Витэкс,ул. 60 лет СССР 14 (Индекс: 246049),Косметика и парфюмерия
Пиццерия Италия,ул. Парижской Коммуны 3 ,Кафе
Гомельстекло,ул. Михаила Ломоносова 25 ,Государство
Велопарковка,ул. проспект Победы 21 (Индекс: 246022),Велопарковка
Makey,ул. проспект Победы 3А ,Товары для дома и дачи
"Фаберлик, офис",ул. Богдана Хмельницкого 77 ,Косметика и парфюмерия
"Евва-Дент, филиал",ул. Советская 60 ,Медицина и фармацевтика
Белгазпромбанк,ул. Ильича 161Ж ,Бизнес
Белпластхим,ул. Полесская 127/2 ,Производство и поставки
Мир волос,ул. Привокзальная площадь 1 (Индекс: 246022),Уход за внешностью
Наши Детки,ул. Катунина 14 ,Детский магазин
Драгоценности Урала,ул. Советская 12 ,Финансы
Венасавтотранс,ул. Дзержинского 11А ,Транспорт и перевозки
Мир посуды,ул. Сухого 1А ,Товары для дома и дачи
Агрокомбинат Южный,ул. Интернациональная 30 ,Производство и поставки
Альфа-банк,ул. проспект Ленина 51 ,Бизнес
Возьми кофе с собой,ул. Речицкий проспект 86А ,Кафе
Табакъ,ул. М.Г. Ефремова 5 ,Товары для дома и дачи
Белнефтестрах,ул. проспект Ленина 30 ,Все виды страхования
Локальные системы,ул. Владимирова 6 ,Продажа электротехнической продукции
ГСПК № 29 Железнодорожного района г. Гомеля,ул. Интендантская 4/227 ,Автомобили
Велопарковка,ул. Черноморская 13 ,Велопарковка
Политех оптимал,ул. Речицкий проспект 24 ,Производство и поставки
Автосалон Skoda,ул. Речицкий проспект 80 ,Автомобили
1Professional,ул. Советская 133 ,Продажа и установка окон
Kcm.by,ул. Интернациональная 48 ,Мебель на заказ
Белорусское общество красного креста,ул. Советская 105А ,Общество
Гомельсовхозстрой,ул. Советская 126 ,Недвижимость
Тесоро Вита,ул. проспект Октября 34 (Индекс: 246029),Товары для дома и дачи
РНК,ул. Карбышева 9 (Индекс: 246029),Автомобили
Savoy,ул. Ильича 331 ,Видео- и фотоуслуги
Общественный пункт охраны правопорядка № 3 администрации Железнодородного района города Гомеля,ул. Михаила Ломоносова 14Б ,Безопасность
Любава,ул. Народного Ополчения 4А ,Товары для дома и дачи
Гомельский областной общественно-культурный центр,ул. Ланге 17 ,Культура и искусство
Ди Вояж,ул. Кирова 26 ,Турагентство
Ясли-Сад № 77 г. Гомеля,ул. Осипова 13 ,Наука и образование
Комитет государственного контроля Гомельской области,ул. Пролетарская 15 ,Государство
Мастерская комфорта,ул. 8-й переулок Ильича 13А ,Мебель на заказ
Юкома,ул. проспект Космонавтов 61 ,Тара и упаковка
Алтер-смак,ул. Борисенко 5 ,Кафе
Современные офисные компоненты,ул. 8-я Иногородняя 2 ,Продажа компьютеров
Кафе,ул. Хатаевича 40 ,Кафе
Промклимат,ул. Советская 29 ,Установка кондиционеров
СтройСитиПлюс,ул. Могилёвская 19Б ,Строительство
Велопарковка,ул. Ильича 26 ,Велопарковка
Bonsai,ул. Брестская 8 ,Кафе
КотаЛюкс,ул. Старочерниговская 19 ,Мойка и чистка ковров
Торгпромкомплекс,ул. Павлова 46А ,Производство и поставки
Гибридэлектро,ул. Подгорная 12/1 (Индекс: 246022),Автомобили
